Date,Rolling variance
2022-05-09,6057095.814047195
2022-05-10,7686389.64204869
2022-05-11,10705495.880611565
2022-05-12,13315753.787141517
2022-05-13,15279387.587993171
2022-05-14,16798963.252006657
2022-05-15,17444166.243773807
2022-05-16,18512706.975364827
2022-05-17,19287020.70471795
2022-05-18,20247118.140089042
2022-05-19,19958863.637073155
2022-05-20,19839681.05289697
2022-05-21,19669805.751957536
2022-05-22,19269700.85101769
2022-05-23,19121428.894863073
2022-05-24,18570995.68365104
2022-05-25,17363923.570752554
2022-05-26,16987058.37827497
2022-05-27,16120518.984270673
2022-05-28,14681947.817910656
2022-05-29,13435464.918100886
2022-05-30,12230502.139078796
2022-05-31,10601021.611719577
2022-06-01,8897698.456420207
2022-06-02,7370440.912439412
2022-06-03,4667897.180969697
2022-06-04,3411224.2822680953
2022-06-05,2274480.4930176837
2022-06-06,1328383.5868822918
2022-06-07,805916.5295819453
2022-06-08,804167.8312865071
2022-06-09,764254.982661656
2022-06-10,755008.3111905496
2022-06-11,812148.3422386034
2022-06-12,1130953.5494364812
2022-06-13,2912972.066252732
2022-06-14,4577992.625419778
2022-06-15,6045298.713840463
2022-06-16,8430762.571907647
2022-06-17,10675965.030198948
2022-06-18,13442348.194266474
2022-06-19,15235894.714688832
2022-06-20,16805793.290026374
2022-06-21,17978251.528809365
2022-06-22,19505647.597655244
2022-06-23,20278774.078658767
2022-06-24,20853411.074703332
2022-06-25,21251911.218072828
2022-06-26,21799871.477624726
2022-06-27,22265875.169449262
2022-06-28,22557149.106932823
2022-06-29,21805652.751709457
2022-06-30,20808024.023672413
2022-07-01,20571262.80051105
2022-07-02,19789936.904056486
2022-07-03,19060945.437262468
2022-07-04,17815706.963551626
2022-07-05,16328890.31465768
2022-07-06,13737357.786369238
2022-07-07,10948785.148302352
2022-07-08,8535763.708772069
2022-07-09,6016717.669172596
2022-07-10,3926119.0267701214
2022-07-11,2099508.086253699
2022-07-12,920517.35069112
2022-07-13,800238.5557372224
2022-07-14,701988.4370800357
2022-07-15,553153.2277157562
2022-07-16,572095.4430314951
2022-07-17,575502.4977092518
2022-07-18,629027.7183650732
2022-07-19,890816.5916755848
2022-07-20,1107119.4633332423
2022-07-21,1298154.4250280932
2022-07-22,1383902.72944501
2022-07-23,1461160.1072524705
2022-07-24,1547684.445667023
2022-07-25,1543787.623316991
2022-07-26,1545283.3352285922
2022-07-27,1660553.8671395662
